geoid,state,county,borough,tract,name,population,commuters,median_income,area_sqkm,pop_density,commuter_ratio,centroid_lat,centroid_lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon
360050393005,36,000,Unknown,039300,Block Group 5,0,0,0,0.015876,0.0,0.0,40.851812,-73.882911,40.8510609999187,-73.88382000034242,40.85256400001492,-73.8820029995768
360050393006,36,000,Unknown,039300,Block Group 6,0,0,0,0.02906,0.0,0.0,40.850286,-73.8834,40.849073999694234,-73.88447800011836,40.8514990001047,-73.88232200031734
36005039400,36,005,Bronx,039400,Census Tract 394; Bronx County; New York,4613,1830,62712,0.0,0.0,0.3967,,,,,,
360050394001,36,000,Unknown,039400,Block Group 1,0,0,0,0.013587,0.0,0.0,40.887454,-73.864554,40.88660799973551,-73.86538000043431,40.8882999999352,-73.86372800042342
360050394002,36,000,Unknown,039400,Block Group 2,0,0,0,0.066798,0.0,0.0,40.887206,-73.862479,40.88569299998262,-73.86450500002508,40.888719999876024,-73.8604519999908
360050394003,36,000,Unknown,039400,Block Group 3,0,0,0,0.02029,0.0,0.0,40.885637,-73.865385,40.88439100011762,-73.86626499999096,40.886883999836,-73.86450500002508
360050394004,36,000,Unknown,039400,Block Group 4,0,0,0,0.044461,0.0,0.0,40.885444,-73.863459,40.884281000018625,-73.86527800032704,40.88660799973551,-73.86164000039447
36005039500,36,005,Bronx,039500,Census Tract 395; Bronx County; New York,4597,1528,23194,0.0,0.0,0.3324,,,,,,
360050395001,36,000,Unknown,039500,Block Group 1,0,0,0,0.072426,0.0,0.0,40.852856,-73.895079,40.851081999765626,-73.89708699958464,40.854629000263046,-73.89307100025863
360050395002,36,000,Unknown,039500,Block Group 2,0,0,0,0.074194,0.0,0.0,40.849885,-73.896079,40.84780199986049,-73.89808599984245,40.8519689999073,-73.89407299999115
360050395003,36,000,Unknown,039500,Block Group 3,0,0,0,0.081553,0.0,0.0,40.848436,-73.897621,40.84665899969451,-73.89967099990616,40.850213000085134,-73.89557000019133
360050395004,36,000,Unknown,039500,Block Group 4,0,0,0,0.180988,0.0,0.0,40.8456,-73.897103,40.843761000269424,-73.90130399965045,40.847438000314554,-73.89290100037931
36005039600,36,005,Bronx,039600,Census Tract 396; Bronx County; New York,4205,1630,41547,0.0,0.0,0.3876,,,,,,
360050396001,36,000,Unknown,039600,Block Group 1,0,0,0,0.044665,0.0,0.0,40.885026,-73.856932,40.883860999749324,-73.85875999979696,40.886190999718224,-73.85510400032105
360050396002,36,000,Unknown,039600,Block Group 2,0,0,0,0.067156,0.0,0.0,40.883261,-73.857912,40.88174499968242,-73.85994099962963,40.88477700009289,-73.85588400029572
