geoid,name,county,tract,population,commuters,median_income
36047014901,Census Tract 149.01; Kings County; New York,047,014901,1644,989,143859
36047014902,Census Tract 149.02; Kings County; New York,047,014902,4275,2591,142625
36047015000,Census Tract 150; Kings County; New York,047,015000,1711,697,78235
36047015100,Census Tract 151; Kings County; New York,047,015100,4149,2498,192411
36047015200,Census Tract 152; Kings County; New York,047,015200,2638,1221,87667
36047015300,Census Tract 153; Kings County; New York,047,015300,2645,1514,138182
36047015400,Census Tract 154; Kings County; New York,047,015400,0,0,0
36047015500,Census Tract 155; Kings County; New York,047,015500,3693,2113,215583
36047015700,Census Tract 157; Kings County; New York,047,015700,4996,3019,186686
36047015900,Census Tract 159; Kings County; New York,047,015900,5232,3236,203936
36047016000,Census Tract 160; Kings County; New York,047,016000,4603,2510,96411
36047016100,Census Tract 161; Kings County; New York,047,016100,3729,2272,168594
36047016200,Census Tract 162; Kings County; New York,047,016200,2289,1195,87446
36047016300,Census Tract 163; Kings County; New York,047,016300,4004,2280,145481
36047016400,Census Tract 164; Kings County; New York,047,016400,997,436,136583
36047016500,Census Tract 165; Kings County; New York,047,016500,6356,3794,241579
36047016600,Census Tract 166; Kings County; New York,047,016600,1830,803,130417
36047016700,Census Tract 167; Kings County; New York,047,016700,4756,2947,207095
36047016800,Census Tract 168; Kings County; New York,047,016800,2122,1073,111673
36047016900,Census Tract 169; Kings County; New York,047,016900,5635,3062,155873
36047017000,Census Tract 170; Kings County; New York,047,017000,3417,1443,98095
36047017100,Census Tract 171; Kings County; New York,047,017100,4271,2173,158269
36047017200,Census Tract 172; Kings County; New York,047,017200,3098,1506,127188
36047017400,Census Tract 174; Kings County; New York,047,017400,2293,1261,101701
36047017500,Census Tract 175; Kings County; New York,047,017500,0,0,0
36047017600,Census Tract 176; Kings County; New York,047,017600,2428,1271,102344
36047017700,Census Tract 177; Kings County; New York,047,017700,0,0,0
36047017800,Census Tract 178; Kings County; New York,047,017800,2812,1154,73417
36047017900,Census Tract 179; Kings County; New York,047,017900,4119,1813,110625
36047018000,Census Tract 180; Kings County; New York,047,018000,3145,1270,62637
36047018100,Census Tract 181; Kings County; New York,047,018100,4037,2518,164904
36047018200,Census Tract 182; Kings County; New York,047,018200,3332,1537,66083
36047018300,Census Tract 183; Kings County; New York,047,018300,2741,1849,182401
36047018400,Census Tract 184; Kings County; New York,047,018400,2112,971,69844
36047018501,Census Tract 185.01; Kings County; New York,047,018501,4791,1869,46723
36047018600,Census Tract 186; Kings County; New York,047,018600,2115,1092,77500
36047018700,Census Tract 187; Kings County; New York,047,018700,1460,839,116842
36047018800,Census Tract 188; Kings County; New York,047,018800,2867,1431,68304
36047019000,Census Tract 190; Kings County; New York,047,019000,4614,2139,63289
36047019100,Census Tract 191; Kings County; New York,047,019100,2852,1790,148051
36047019200,Census Tract 192; Kings County; New York,047,019200,2792,1031,63807
36047019300,Census Tract 193; Kings County; New York,047,019300,5774,2397,72806
36047019400,Census Tract 194; Kings County; New York,047,019400,3149,1516,49309
36047019500,Census Tract 195; Kings County; New York,047,019500,3506,1951,110594
36047019600,Census Tract 196; Kings County; New York,047,019600,4845,2087,82500
36047019700,Census Tract 197; Kings County; New York,047,019700,3680,2125,114191
36047019800,Census Tract 198; Kings County; New York,047,019800,2057,1033,81719
