station_complex_id,name,borough,lat,lon,lines,num_lines,total_ridership,avg_ridership_per_hour,pop_density_tract,median_income,commuters_tract,population_500m,bus_stops_250m,bus_stops_500m
255,169 St,Queens,40.71047,-73.7936,F,1,35117,24.99,0.0,0,0,0,17,48
388,167 St,Bronx,40.835537,-73.9214,4,1,34810,24.65,0.0,0,0,0,2,15
377,3 Av-138 St,Bronx,40.810474,-73.92614,6,1,34770,24.62,0.0,0,0,0,8,19
441,Central Park North,Manhattan,40.799076,-73.95182,110 St,1,34733,24.77,0.0,0,0,0,3,21
329,Rector St,Manhattan,40.70751,-74.01379,1,1,34425,28.76,0.0,0,0,0,12,44
262,67 Av,Queens,40.726524,-73.85272,"M,R",2,34414,25.57,0.0,0,0,0,4,15
460,33 St-Rawson St,Queens,40.744587,-73.931,7,1,34195,25.27,0.0,0,0,0,3,18
68,Bay Pkwy,Brooklyn,40.601875,-73.99373,D,1,33735,25.36,0.0,0,0,0,9,21
381,Kingsbridge Rd,Bronx,40.86776,-73.89717,4,1,33649,24.02,0.0,0,0,0,4,18
123,Grand St,Brooklyn,40.711926,-73.94067,L,1,32924,24.77,0.0,0,0,0,4,22
41,7 Av,Brooklyn,40.67705,-73.97237,"B,Q",2,32895,37.21,0.0,0,0,0,8,24
270,46 St,Queens,40.756313,-73.91333,"M,R",2,32802,24.33,0.0,0,0,0,5,17
300,191 St,Manhattan,40.855225,-73.92941,1,1,32574,26.53,0.0,0,0,0,6,15
124,Montrose Av,Brooklyn,40.70774,-73.93985,L,1,32410,26.92,0.0,0,0,0,3,16
TRAM1,RI Tramway,Manhattan,40.761337,-73.96416,Manhattan,1,32110,28.19,0.0,0,0,0,9,36
358,Newkirk Av-Little Haiti,Brooklyn,40.63997,-73.94841,"2,5",2,31970,23.72,0.0,0,0,0,8,27
98,Flushing Av,Brooklyn,40.70026,-73.941124,"M,J",2,31962,23.69,0.0,0,0,0,13,32
76,Bay Pkwy,Brooklyn,40.611816,-73.98185,N,1,31701,24.09,0.0,0,0,0,5,10
293,Van Cortlandt Park-242 St,Bronx,40.889248,-73.89858,1,1,31217,24.74,0.0,0,0,0,0,1
256,Parsons Blvd,Queens,40.707565,-73.80333,F,1,31165,22.53,0.0,0,0,0,16,28
72,Fort Hamilton Pkwy,Brooklyn,40.631386,-74.00535,N,1,30923,23.46,0.0,0,0,0,9,22
5,36 Av,Queens,40.756805,-73.92957,"N,W",2,30907,23.52,0.0,0,0,0,2,6
379,Mosholu Pkwy,Bronx,40.87975,-73.88466,4,1,30730,22.32,0.0,0,0,0,5,11
180,Kingston-Throop Avs,Brooklyn,40.67992,-73.94086,C,1,30702,22.98,0.0,0,0,0,10,34
387,170 St,Bronx,40.840076,-73.91779,4,1,30183,21.57,0.0,0,0,0,3,20
218,167 St,Bronx,40.83377,-73.91844,"B,D",2,30054,21.65,0.0,0,0,0,4,15
455,69 St,Queens,40.746326,-73.8964,7,1,29758,23.07,0.0,0,0,0,7,20
299,Dyckman St,Manhattan,40.86053,-73.92554,1,1,29679,22.87,0.0,0,0,0,0,5
95,Gates Av,Brooklyn,40.68963,-73.92227,"J,Z",2,29494,22.99,0.0,0,0,0,8,17
154,116 St,Manhattan,40.805084,-73.95488,"C,B",2,29455,22.4,0.0,0,0,0,11,28
144,Dyckman St,Manhattan,40.86549,-73.92727,A,1,29268,21.38,0.0,0,0,0,1,5
65,79 St,Brooklyn,40.613503,-74.00061,D,1,28655,22.4,0.0,0,0,0,3,14
52,Avenue U,Brooklyn,40.5993,-73.95593,Q,1,28626,21.87,0.0,0,0,0,7,20
424,Pelham Pkwy,Bronx,40.857193,-73.867615,"2,5",2,28599,20.2,0.0,0,0,0,7,9
378,Woodlawn,Bronx,40.886036,-73.87875,4,1,28595,20.69,0.0,0,0,0,2,4
176,Lafayette Av,Brooklyn,40.68611,-73.973946,C,1,28399,21.78,0.0,0,0,0,6,32
269,Northern Blvd,Queens,40.752884,-73.906006,"M,R",2,28249,21.48,0.0,0,0,0,11,23
457,52 St,Queens,40.74415,-73.91255,7,1,28140,21.68,0.0,0,0,0,4,19
TRAM2,RI Tramway,Manhattan,40.75734,-73.95412,Roosevelt,1,27896,24.71,0.0,0,0,0,9,12
326,Franklin St,Manhattan,40.71932,-74.00689,1,1,27892,23.19,0.0,0,0,0,3,23
66,18 Av,Brooklyn,40.607952,-74.00174,D,1,27816,21.1,0.0,0,0,0,10,19
242,Fort Hamilton Pkwy,Brooklyn,40.650784,-73.97578,"F,G",2,27668,22.77,0.0,0,0,0,0,18
215,Tremont Av,Bronx,40.85041,-73.90523,"B,D",2,27667,19.86,0.0,0,0,0,14,35
346,Sutter Av-Rutland Rd,Brooklyn,40.66472,-73.92261,3,1,27529,20.09,0.0,0,0,0,9,31
354,Sterling St,Brooklyn,40.662743,-73.95085,"2,5",2,27001,20.64,0.0,0,0,0,7,23
241,15 St-Prospect Park,Brooklyn,40.660366,-73.97949,"F,G",2,26980,21.4,0.0,0,0,0,5,10
210,Norwood-205 St,Bronx,40.87481,-73.87885,D,1,26889,19.58,0.0,0,0,0,8,14
421,Gun Hill Rd,Bronx,40.87785,-73.86626,"2,5",2,26740,19.33,0.0,0,0,0,7,13
77,Kings Hwy,Brooklyn,40.603924,-73.980354,N,1,26617,20.63,0.0,0,0,0,1,4
30,Prospect Av,Brooklyn,40.665413,-73.992874,R,1,26603,20.75,0.0,0,0,0,1,14
627,Franklin Av,Brooklyn,40.68138,-73.95685,"C,S",2,26495,20.38,0.0,0,0,0,13,36
341,Eastern Pkwy-Brooklyn Museum,Brooklyn,40.671986,-73.96438,"2,3",2,26474,21.32,0.0,0,0,0,1,11
